"CAS Registry Number","MITI Number","Chemical Substance Name","Properties","Endpoints"
"84304-87-0","4-67","2,4-Bis(4-methylcyclohexyl)-2-methylpentane","Existing chemical substances|Monitoring Chemical Substances","O"
"84539-95-7","2-642","Ester of hydrogenated tallow fatty acids and pentaerythritol","Priority Assessment Chemical Substances (PACSs)|","O"
"84539-95-7","2-766","Ester of hydrogenated tallow fatty acids and pentaerythritol","Priority Assessment Chemical Substances (PACSs)|","O"
"84561-31-9","1-174","Silicon carbide (SiC3)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"84561-32-0","1-174","Silicon carbide (SiC5)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"84561-34-2","1-174","Silicon carbide (SiC7)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"84567-94-2","2-3704","(R)-3-Methylundecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"84567-94-2","2-217","(R)-3-Methylundecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"84681-74-3","2-1679","Sodium isotridecyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"84776-06-7","2-68","Chloroalkanes(C=10-32)","Class I specified chemical substance|","O"
"84989-04-8","4-57","Cresol fraction of tar acids","Priority Assessment Chemical Substances (PACSs)|","O"
"84989-04-8","3-499","Cresol fraction of tar acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85005-55-6","7-172","2-(Isononylphenoxy)ethanol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85005-55-6","3-589","2-(isononylphenoxy)ethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85030-01-9","","Compound of dodecanedioic acid and 2,2'-iminodiethanol (1:2)","Priority Assessment Chemical Substances (PACSs)||","O"
"85030-07-5","","Compounds of undecanedioic acid and 2,2',2''-nitrilotriethanol (1:2)","Priority Assessment Chemical Substances (PACSs)||","O"
"85049-26-9","2-68","Chloroalkanes(C=16-35)","Priority Assessment Chemical Substances (PACSs)|","O"
"85049-97-4","","Compound of 2,2',2''-nitrilotriethanol and sodium dodecanedioate","Priority Assessment Chemical Substances (PACSs)||","O"
"85050-14-2","","Compound of 2,2'-iminodiethanol and 3,5,5-trimethylhexanoic acid (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"85085-84-3","","Compounds of hydrogen (phthalocyanine-29,31-diide-sulfonato-kappa(4)N(29),N(30),N(31),N(32))cuprate(1-) with octadecan-1-amine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"85116-82-1","2-766","Ester of fatty acids(C=14-18 and C=16-18 unsaturated) and pentaerythritol","Priority Assessment Chemical Substances (PACSs)|","O"
"85116-82-1","2-642","Ester of fatty acids(C=14-18 and C=16-18 unsaturated) and pentaerythritol","Priority Assessment Chemical Substances (PACSs)|","O"
"85116-93-4","2-642","Ester of fatty acid (C=16-18) and pentaerythritol","Priority Assessment Chemical Substances (PACSs)|","O"
"85116-93-4","2-766","Ester of fatty acid (C=16-18) and pentaerythritol","Priority Assessment Chemical Substances (PACSs)|","O"
"85117-50-6","3-1884","Sodium salt of (C10-14-alkyl)benzenesulfonic acid","Priority Assessment Chemical Substances (PACSs)|","O"
"85117-50-6","3-1906","Sodium salt of (C10-14-alkyl)benzenesulfonic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85117-50-6","3-1949","Sodium salt of (C10-14-alkyl)benzenesulfonic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85186-89-6","2-2491","Ester of 2-ethyl-2-(hydroxymethyl)propane-1,3-diol and fatty acids(C8-18 and C18-unsaturated)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85186-89-6","2-769","Ester of 2-ethyl-2-(hydroxymethyl)propane-1,3-diol and fatty acids(C8-18 and C18-unsaturated)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85252-21-7","","Compound of alkyl(C=12-16) hydrogen sulfate and 2,2',2''-nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"85408-48-6","2-198","(C10-18-Alkyl)dimethylamine N-oxides","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85408-49-7","2-198","(C12-16-Alkyl)dimethylamine N-oxides","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85408-69-1","7-973","Sodium salt of C8-18,C16-18-unsaturated fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"85408-69-1","2-611","Sodium salt of C8-18,C16-18-unsaturated fatty acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85409-17-2","9-1765","Stannane, tributyl-, mono(naphthenoyloxy) derivatives.","Existing chemical substances|Class II specified chemical substance|","O"
"85409-22-9","","Alkyl(C=12-14)(benzyl)(dimethyl)ammonium chlorides","Priority Assessment Chemical Substances (PACSs)||","O"
"85409-85-4","","Compound of octyl hydrogen sulfate and propan-2-amine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"85409-86-5","3-1884","Sodium 3-tridecylbenzenesulphonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85409-86-5","3-1949","Sodium 3-tridecylbenzenesulphonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85409-86-5","3-1906","Sodium 3-tridecylbenzenesulphonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85422-92-0","2-68","Chloroparaffin oils","Class I specified chemical substance|","O"
"85535-84-8","2-68","Chloroalkanes(C=10-13)","Class I specified chemical substance|","O"
"85535-85-9","2-68","Chloroalkanes(C=14-17)","Priority Assessment Chemical Substances (PACSs)|","O"
"85536-22-7","2-68","Chloroalkanes(C=12-14)","Class I specified chemical substance|","O"
"85566-29-6","2-2491","Triester of coco fatty acids and 2-ethyl-2-(hydroxymethyl)propane-1,3-diol","Priority Assessment Chemical Substances (PACSs)|","O"
"85566-29-6","2-769","Triester of coco fatty acids and 2-ethyl-2-(hydroxymethyl)propane-1,3-diol","Priority Assessment Chemical Substances (PACSs)|","O"
"85617-05-6","2-3704","(S)-Undecan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"85617-05-6","2-217","(S)-Undecan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85681-68-1","2-1679","Sodium salt of sulfuric acid mono(C14-18,C16-18-unsaturated alkyl) ester","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85681-73-8","2-68","Chloroalkanes(C=10-14)","Class I specified chemical substance|","O"
"85711-45-1","2-766","Ester of fatty acids(C=16-18 and C=18 unsaturated) and pentaerythritol","Priority Assessment Chemical Substances (PACSs)|","O"
"85711-45-1","2-642","Ester of fatty acids(C=16-18 and C=18 unsaturated) and pentaerythritol","Priority Assessment Chemical Substances (PACSs)|","O"
"85711-69-9","2-1640","Sodium salt of C13-17-sec-alkanesulfonic acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85711-70-2","2-1640","Sodium salt of C14-18-sec-alkanesulfonic acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85883-76-7","2-2491","Ester of C8-18-branched and linear fatty acids and 2-ethyl-2-(hydroxymethyl)propane-1,3-diol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"85883-76-7","2-769","Ester of C8-18-branched and linear fatty acids and 2-ethyl-2-(hydroxymethyl)propane-1,3-diol","Priority Assessment Chemical Substances (PACSs)|","O"
"85909-50-8","","Ammonium isodecyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"85995-94-4","9-1677","Potassium salt of rape oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"85995-94-4","2-611","Potassium salt of rape oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"86014-79-1","2-1679","Sodium C13-15-alkyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"86029-64-3","4-18","2,3',4,4',6-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"86470-30-6","2-217","(S)-8-Methyldecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"86470-30-6","2-3704","(S)-8-Methyldecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"86589-25-5","","Compound of 2,2',2''-nitrilotriethanol with phthalic acid","Priority Assessment Chemical Substances (PACSs)||","O"
"86606-51-1","2-217","6,8,8-Trimethylnonan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"86606-51-1","2-3704","6,8,8-Trimethylnonan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"86693-68-7","2-217","(R)-2,4,8-Trimethylnonan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"86693-68-7","2-3704","(R)-2,4,8-Trimethylnonan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"86996-86-3","2-611","Potassium octadeca-9,12,15-trienoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"86996-86-3","9-1677","Potassium octadeca-9,12,15-trienoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"87118-42-1","2-217","(4R,8S)-4,8-Dimethyldecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"87118-42-1","2-3704","(4R,8S)-4,8-Dimethyldecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"87118-95-4","2-217","3,4,5,6,6-Pentamethylheptan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"87118-95-4","2-3704","3,4,5,6,6-Pentamethylheptan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"87189-78-4","2-3704","5,9-Dimethyldecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"87189-78-4","2-217","5,9-Dimethyldecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"87383-16-2","2-3704","2,4-Dimethyldecan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"87383-16-2","2-217","2,4-Dimethyldecan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"87383-17-3","2-217","2,6-Dimethyldecan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"87383-17-3","2-3704","2,6-Dimethyldecan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"87383-18-4","2-3704","2,8-Dimethyldecan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"87383-18-4","2-217","2,8-Dimethyldecan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"87977-58-0","","Pentapotassium (1-oxidoethane-1,1-diyl)bis(phosphonate) monohydrate","Priority Assessment Chemical Substances (PACSs)||","O"
"88331-26-4","2-217","4,6,8-Trimethylnonan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"88331-26-4","2-3704","4,6,8-Trimethylnonan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"88380-00-1","3-4307","Sodium dodecanoyloxybenzenesulfonate","Newly Announced Chemical Substances (notified by March 31, 2011)|Priority Assessment Chemical Substances (PACSs)||","O"
"88394-55-2","","Compound of P,P'-(1-hydroxyethane-1,1-diyl)bis(phosphonic acid) and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"88700-05-4","4-18","2,2',3,5',6-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"88762-01-0","7-97","alpha-Hydro-omega-(tridecan-2-yloxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"88776-42-5","2-217","Butyloctan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"88776-42-5","2-3704","Butyloctan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"89000-29-3","","Mixture of PCB 1248 and PCB 1254","Class I specified chemical substance|","O"
"89353-55-9","","Compound of N-dodecanoyl-N-methyl-beta-alanine and 2,2',2''-nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"89482-34-8","","Ethanol, 2-[2-[2-(dodecyloxy)ethoxy]ethoxy]-, hydrogen sulfate, compd. with 2-aminoethanol (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"89819-86-3","","Compounds of tridecyl dihydrogen phosphate and morpholine","Priority Assessment Chemical Substances (PACSs)||","O"
"90194-45-9","3-1949","Sodium salt of (C10-13-alkyl)benzenesulfonic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"90194-45-9","3-1906","Sodium salt of (C10-13-alkyl)benzenesulfonic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"90194-45-9","3-1884","Sodium salt of (C10-13-alkyl)benzenesulfonic acid","Priority Assessment Chemical Substances (PACSs)|","O"
"90583-12-3","","Ammonium C12-16-alkyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"90583-13-4","","Ammonium C12-18-alkyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"90583-25-8","2-1679","Sodium alkyl(C=6-12) sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"90583-28-1","2-1679","Sodium salt of sulfuric acid C10-14-alkyl ester","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"90622-57-4","2-10","C9-12-Isoalkanes","Priority Assessment Chemical Substances (PACSs)|","O"
"90622-58-5","2-10","C11-15 Isoalkanes","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"90640-52-1","","Compounds of coco alkyl amines and pentachlorophenol (1:1)","Class I specified chemical substance","O"
"90640-84-9","9-1735","Creosote oil, acenaphthene fraction","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"90835-25-9","2-217","8-Methylundecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"90835-25-9","2-3704","8-Methylundecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"90948-28-0","","1,2,4,5,6,8-Hexachloronaphthalene","Class I specified chemical substance","O"
"91001-66-0","9-1677","Potassium salt of C12-20,C12-20-unsaturated fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"91001-66-0","2-611","Potassium salt of C12-20,C12-20-unsaturated fatty acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"91032-02-9","9-1677","Potassium salt of C12-18 fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"91032-02-9","2-611","Potassium salt of C12-18 fatty acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"91032-03-0","2-611","Potassium salt of C14-18 fatty acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"91032-03-0","9-1677","Potassium salt of C14-18 fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"91032-12-1","2-611","Sodium salt of C12-18 fatty acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"91032-12-1","7-973","Sodium salt of C12-18 fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"91032-13-2","7-973","Sodium salt of C14-18 fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"91032-13-2","2-611","Sodium salt of C14-18 fatty acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"91036-71-4","","Magnesium bis(perfluorooctane-1-sulfonate)","Class I specified chemical substance","O"
"91050-88-3","2-769","Triester of C6-18 fatty acids and 2-ethyl-2-(hydroxymethyl)propane-1,3-diol","Priority Assessment Chemical Substances (PACSs)|","O"
"91050-88-3","2-2491","Triester of C6-18 fatty acids and 2-ethyl-2-(hydroxymethyl)propane-1,3-diol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"91080-93-2","","Coco-alkyl(trimethyl)ammonium pentachlorophenolates","Class I specified chemical substance","O"
"91376-43-1","4-244","1,2-Dimethyl(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"91376-43-1","4-38","1,2-Dimethyl(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"91482-38-1","2-217","5,9-Dimethyldecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
